,Unnamed: 0,comment_sentence,label
232,34093,ある界隈の人たちって、「本当に」だの「真の」だのが大好きなのですね…,0.0
96,16416,多くの日本人が望んでいるなら実現しているはずなので、ソースも無しにウソは言わないでください。,0.0
136,20902,違和感ある発言。,0.0
9,1056,見ている範囲が狭すぎるんじゃないですか？,0.0
605,284,馬鹿な大将は敵より怖いと言いますからね?なら馬鹿な国民は中国より怖いという事になるのかな？,1.0
267,34229,まーた架空のオタク像を捏造してそれを叩くなぞの行動か(*´∀｀*)お前オタクへの依存症よな(笑),0.0
178,26712,他人と比べても何にもならないやっぱジジイのクセにガキなんだなw,0.0
635,314,メイド・イン・ジャパンだけでなく、ユーズド・イン・ジャパンって言う日本の中古車だって信頼されてる。,1.0
32,2329,こういうコントは面白いんだけどな時々ライン越えの発言するからな,0.0
549,228,社会人になってから資格を取ったりMBAに行ったり,1.0
621,300,立憲民主党、絶対に支持しない。,1.0
59,5120,というかこの議論に学歴うんぬん関係ありますか？,0.0
268,34230,しかも架空ておまえwww,0.0
516,195,苦労した数だけ、人生は厚みを増す。,1.0
55,4761,あなたは犯罪者です！,0.0
339,18,おはよう?去年親子で経験しました組織に訴えても結局揉み消されて泣く人他にも沢山見たから、法で罰すればいい。,1.0
70,7895,公文書改竄を推奨しろって事脳ミソ沸騰しとる,0.0
105,17147,まだアホなこと言ってる,0.0
498,177,イジメられた人ってのはね、力が手元にあっても使う覚悟がない人だからイジメられ続けるんだよ,1.0
566,245,自公維とその支持者達だけ無人島で大日本帝国ごっこやってろって話。,1.0
76,15232,なんかさ、君は金銭欲や自己顕示欲が強すぎて周りの人間やサラブレッドに対しての愛が感じられないんだよね。,0.0
505,184,ワクチン信じてる医者が結構いそう,1.0
432,111,字幕とアナウンスだけで、えっ？,1.0
445,124,誰かが言ったことを鵜呑みにしてるだけなんじゃないの？,1.0
219,34034,こんなバ看護師が居るから、いつまで経っても看護師の地位が上がらねえんだよ(=_=),0.0
16,1314,贅沢だとしても何が悪いの？,0.0
160,23966,決め付けもここまで来ると清々しいもんだな。,0.0
334,13,永遠に改善しないで欲しい。,1.0
