id,comment
300,容疑 段階 で は あり ます が 、 母 が 父 に 殺さ れ 、 ひとり 残っ た 子供 が 哀れ すぎる ･･･。 
301,北海道大学 薬学部 出身 の 夫 と 京都 大学 薬学部 出身 の 夫婦 とか めちゃくちゃ 頭 いい な 一体 何 が あっ た の だろ う 
302,エリート な ん だ ね 。 
302,見 た 感じ 、 会社 員 だ と は 思わ なかっ た 。 
302,自宅 で 飲まさ れ ちゃっ た の だ と し たら 、 悲しい なぁ 。 
303,夫婦 共に 凄い 経歴 。 
303,頭 良く て も 倫理 観 が 欠如 し て いる 事 ある し な 。 
303,世の中 分から ん もの だ な 。 
304,経歴 的 に は 、 立派 な 学者 夫婦 です ね 。 
304,もったいない です ね 。 
305,奥さん の 方 が 高 学歴 で 優秀 だっ た のに 、 結婚 で 辞め ちゃっ た の ね … 。 
305,コンプレックス とか あっ た の かしら … 
306,人 は 存在 自体 が 矛盾 し て おり 時 により 常に 非合理 な 行動 を 取る 
307,薬品 に 超 詳し そう な エリート の この 方 が そんなに すぐ バレる 殺害 方法 を 選ぶ の か なあ 
308,薬品 の 専門 家 が メタノール なんて 一般 的 な 薬品 で 病死 を 偽装 する もん だろ う か ？ 
309,動機 と メタノール の 持ち込み ルート が 分から ない ので 
309,犯人 扱い は まだ 早い よう な 。 
310,製薬 大手 「 第 一 三共 」 
310,研究 員 が 仕事 の 薬品 開発 の 知識 を 使っ て 妻 を 毒殺 し た こと は こういう 大手 の 会社 でも 起きる こと が 信じ られ ない 。 
311,亡くなっ た 嫁さん は 、 京都大 大学院 を 修了 後 ～～～ 
311,１ ０ 年 に 結婚 後 、 退職 、 って 、 めっちゃ かしこ や のに 、 なんか もったいない な 
312,メタノール で 殺害 とか 痛み を やわらげる 研究 の 真 逆 だろ 、 ものすごく 苦しん で 亡くなっ た だろ う 。 
312,しかし 会社 員 に は 見え ん なー 
313,どうせ 死刑 に なら ない の なら 、 ムショ の 中 で 一生 治験 さ せ て 、 体内 に ヤバイ 薬 や ワクチン 注入 さ せる 事 で 、 己 の し た 事 を 後悔 さ せる の は どう ？ 
314,山上 と 同じく 背景 に 何 か 理由 が あっ て の 殺害 かも しれ ない よ 。 
314,同情 し て あげる ん だ ね 。 
315,どれ ほど 憎まれる よう な 妻 だっ た の だろ う か ？ 
315,むしろ そこ が 非常 に 興味深い 。 
316,第 一 三共 入っ て 、 学位 も 取っ て 留学 し て 、 羨ましい 限り だ 。 
316,それ を 全部 棒 に 振っ ちゃっ て … 。 
317,冤罪 ？ 
317,夫婦 仲 悪かっ た ？ 
317,もっと 知ら ない 薬品 とか 手 に 入ら ない 薬 とか あり そう だ けど 。 
317,本当に やっ た の か な ？ 
318,お子さん は お母様 を 亡くさ れ た 上 に 、 父親 が 逮捕 、 それ も 母親 の 殺害 容疑 って 、 、 、 お子さん が 可哀想 すぎる 。 。 
319,事件 の 真相 は さておき 、 北大 の しかも 薬学部 から 第 一 三共 
319,入社 とか 相当 な エリート です ね 。 
320,メタノール を 飲ま せ て 殺し た って ？ 
320,変死 な ん だ から 必ず 解剖 する し そう なれ ば 死因 も わかる し ・ ・ ・ それとも 自殺 ？ 
321,離婚 を 切り出さ れ た 、 あるいは 離婚 を し たく て も 聞き入れ て もらえ なかっ た の か 。 
321,子供 も いる のに 最低 だ ね 。 
322,高学歴 の 夫婦 は 「 知識 」 は あっ て も 「 知恵 」 は ない ん だ ね 。 
323,ちょっと 待っ て 。 
323,自殺 の 可能 性 は ない の 。 
323,冤罪 と し たら 、 あまりに 不憫 。 
324,スーパー 学歴 どうし の パワー カップル に なに が あっ た の やら 。 
325,自殺 に つながる よう な 事情 を 捜査 中 の よう です ね 。 
325,記事 が 薄く て よく わから ん 
326,ん ー 　 正直 この 奥さん 何 か の 機密 を 知っ て 消さ れ た 可能 性 も ある かも 
327,奥さん 、 子供 の 出産 を 機 に 退職 し た の か 。 
327,もったいない ！ ！ 
327,子供 も いる のに この 男 は 何 やっ て ん の ？ 
327,無責任 。 
328,奥さん を 殺す なんて 鬼畜 以外 の 何者 で も ない 。 
328,まだ 子供 に 手 を かけ なく て 良かっ た 。 
328,鬼畜 は 鬼畜 らしく 極刑 を と 言い たい が 、 無期 懲役 が 関の山 か な 。 
329,普通 に 別居 とか 離婚 とか じゃ 済まなかっ た の か ？ 
329,ある と する と 奥さん が 不倫 し て 許せ なかっ た か 、 保険 金 目当て か ？ 
330,羨ましい 経歴 と 将来 も 開け て い た だろ う に 。 
330,殺害 する 程 の 憎悪 と 杜撰 な 殺害 、 相当 メンタル やら れ てる な 
331,子供 が 本当に 本当に かわい そう 。 
331,もう 分別 つくし 、 殺し たい くらい 嫌い なら その 前 に 離婚 しな よ ！ ！ 
332,メタノール って 、 臭い キツイ よ ね ？ 
332,奥様 、 わかん なかっ た の か な ？ 
332,口 に 入れ た 瞬間 、 パタリ ？ 
332,刺激 すご そう だ けど … … 不可解 な 事件 だ なぁ 。 
