,comment,label
0,病気 じゃ ない ？ ,0.0
1,あんた が 「 存在 する だけ で 嫌わ れ 警戒 さ れる 」 ,0.0
2,どの 口 が 言う ？ ,1.0
3,だいたい わかっ た 。 ,1.0
4,他人 の 幸せ に対して ケチ を つける よう な 野暮 は し ない で 欲しい 。 ,1.0
5,「 女性 で ある が 故に 不利益 を 受け たり 生き づら さ を 感じ させ られ たり する こと の ない 社会 を 実現 し なけれ ば 」 という 部分 は 大 賛成 だ が 、 この ツイート は ちょっと ...。 ,0.0
6,文句 も 言わ ない で 働い て いる 人 は 真面目 な ん じゃ なく て 牧場 の 羊 と 一緒 。 ,1.0
7,社会 も 個人 も 負ける こと を 極端 に 怖がっ てる こと が 、 成長 を 阻害 し てる よう に 思う な 。 ,1.0
8,自分 の 考え と 違う 人 を 罵倒 する の は 自信 が ない 裏付け です よ 。 ,0.0
9,う ? ん 、 なんとか 擁護 し たい と 思っ て た けど とっくに データ で 否定 さ れ てる 「 日本 だけ 何 百 倍 も 何 万 倍 も 暗 数 が ある 」 とか 偏見 に まみれ た 出羽守 ポーズ 部分 は 擁護 不可能 だ よ … ,1.0
10,あれ 見 て 、 ほっ かむり に対する 差別 だ ！ とか 怒る よう な もの な ん だ よ 。 ,1.0
11,キミ が 更迭 だ な 。 ,0.0
12,好意 を 持っ てる の は 、 印象 操作 、 世論 誘導 の ます ゴミ 。 ,1.0
13,そして 、 同時に 逃げ口上 を 必死 に 考え て いる はず です ,1.0
14,物事 を 見極め られ ない コロナ 過剰 議員 は 今 すぐ 辞め て くれ ,0.0
15,自分 達 も 日常 生活 で 同じ よう な ズル を し てる から 共感 する ん だろ う と 思い ます 。 ,1.0
16,仮に 被害 者 だ として も ジャーナリスト が そんな 不祥事 見逃し て たっ て 無能 に も 程 が ある ,0.0
17,私 に は サッパリ わかり ませ ん 。 ,0.0
18,崇高 な 考え じゃ ,1.0
19,念 の 為 に 見 に き た 警察 えら すぎ 。 ,1.0
20,世田谷 貧乏 左翼 です ！ ,1.0
21,夢 は オフトゥン の 中 で どうぞ ,0.0
22,それ は 価値 観 の 押し付け だ と 思い ませ ん か ？ ,0.0
23,こんな 条例 に 自分 の 家 の こと に 口出し さ れ たく ない わ ！ ,1.0
24,個人 的 に くそ なん ちゃん ら とか って 言う 言い回し が 大嫌い です 。 ,0.0
25,差別 者   で ある こと を 自覚 し て ください 。 ,0.0
26,文章 読め ない ん ？ ,0.0
27,他人 の 表現 の 自由 へ の 侵略 や ,0.0
28,黙れ 小僧 笑 笑 ,0.0
29,アンケート とっ た の ？ ,0.0
30,それ が 出来 ない から ｢ ,1.0
31,もう少し 頭 を 使っ て 生き たら どう ？ ,0.0
32,東大 京大 に 入っ た 人 は 普通 に 本 読ん でる し 、 そもそも この 人 の ID が 頭 悪 すぎる 。 ,0.0
33,なんか マヤ わかっ ちゃっ た 。 ,1.0
