,Unnamed: 0,comment_sentence,label
230,34084,人並み以上に納税してるのか？,0.0
322,1,ホント。,1.0
519,198,アメリカはアメリカのためにしか闘わないよ。,1.0
631,310,さすがミソジニー/アンチフェミニズム界の上杉隆だ,1.0
285,34285,仮定が良くわからないな…,0.0
602,281,マイナス評価する人と、実際に企画をボツにする人は別人なんで、仮に経済的損失で訴えるならボツにした警察に対してじゃないかと思う。,1.0
610,289,フランスで食○事件を起こした犯人(日本人)も、幼少期に性的なモノを一切禁じられたから、それで性癖が歪んだって、本人が言ってたもん。,1.0
299,34361,品位のカケラも無いお言葉ですね......軽蔑します,0.0
90,16387,非常に多くの日本人は望んでおりません間違い忖度はしないで下さい。,0.0
600,279,何を言い出そうと左翼であることには変わらないからね。,1.0
248,34179,言い尽くされたネタばかり,0.0
47,2675,ちょっと意味不明すぎて話が見えませんね。,0.0
306,34373,真っ当な批判を犯罪、差別にすり替えるってすごいね。,0.0
43,2449,馬鹿ばっかです。,0.0
487,166,太田は頭が悪いくせに、知ったかぶり、あんなんで芸人なんて、干されなきゃわからないのよ。,1.0
142,20952,デマ相当する。,0.0
262,34216,恥かくだけだからやめとけ,0.0
231,34085,だからその五輪貴族の実名を挙げてください。,0.0
138,20915,言葉の重さを知らないね。,0.0
166,23988,どのへんが？,0.0
259,34209,雑な誘導は逆効果です。,0.0
439,118,男女関わらずアイドルは可愛い者では？,1.0
595,274,当然萌え絵と政治的なポスターは全く事情が違うし、例えば胸を出したりするような卑猥なポスターがあれば、公共の場からは排除されて当然。,1.0
504,183,F1のグリッドガールは対立したから滅ぼされたんじゃない。,1.0
88,16254,ほーら始まった、何にもわかってないくせにわかったフリするようなやつ。,0.0
157,23924,オタク嫌いって偏見とかもう見飽きたわ。,0.0
365,44,結局、これが今の日本の民度なんですよ。,1.0
69,7620,こんなところでも歴史改竄運動…,0.0
147,22090,見たくねえならTwitterやめろよ！,0.0
131,20086,屁理屈言うなネトウヨ。,0.0
491,170,学歴あって年収が中の上やや上流から上の方々の多くが極度のコロメ脳コロメ脳から、脱却できない,1.0
630,309,つまりどういうことですか？,1.0
173,25767,何を言ってるのか分からない。,0.0
560,239,あちら側は、極端に変態も多いですしね。,1.0
446,125,ほとんどの人間はバカですから何を言っても理解できません。,1.0
146,21587,この人以前も似たようなこといっていて、尚且つ指摘されていてそれでまた繰り返しているのだからただただ不誠実としかいえない。,0.0
501,180,おはようございます素敵な成人の日になります様に,1.0
137,20914,議員が「バイオテロ」を公に発言。,0.0
379,58,驚きを隠せないです。。,1.0
579,258,実力だけじゃないところありますよね,1.0
553,232,売上が6万じゃなく粗利が6万増えるのだから。,1.0
119,18576,人は信じたい事しか信じない、の典型ですね…。,0.0
169,25704,何を言っているのか。,0.0
329,8,それ、本当ならちゃんと抗議電話した方がいいですよ!,1.0
415,94,こんなのに騙される人はいないと信じたい。,1.0
492,171,その問いかけは普通に欧州の先進国にも刺さりそうなんよなぁ…。,1.0
33,2330,じゃあ日本からでてけば？,0.0
531,210,ん～？,1.0
3,783,えー無知は、どちら？,0.0
112,17798,大丈夫？,0.0
246,34174,普通は、楽しんでいますよいますよ、胴元のせいにするなら、人からお金をだまさないでくださいね。,0.0
40,2375,『戦いになると抵抗出来ず『差別主義者！』と叫んで逃げるしか脳のない女性』を体現してるだけやないの。,0.0
106,17331,印象かよ=^.^=,0.0
358,37,3～5分に…,1.0
116,18256,いや、そんな程度の話じゃないよね。,0.0
162,23968,普段、根拠やデータを気にしてないからこう受け止めちゃうんでしょうね,0.0
55,4761,あなたは犯罪者です！,0.0
180,33623,ばかばっかり,0.0
366,45,違います。,1.0
177,26360,論点がおかしいですよ。,0.0
38,2345,張り裂けとけよ。,0.0
564,243,エロでもなんでもないものをいやらしいと撤去されるのがいやなんだよ。,1.0
627,306,ナイス突っ込み,1.0
163,23970,有効な反論が出来ないから性犯罪予備軍などとレッテル貼って話をずらそうとしてるんですね,0.0
576,255,自分で考えるということをしなかった結果ですね。,1.0
362,41,「9割」の論拠がそもそも不明。,1.0
609,288,在籍してた会社、何人も外国籍採用してたけどみんな日本語でコミュニケーションが基本だったよ。,1.0
184,33879,こんなことを真顔で言われた日には、笑い堪えるのに必死になってしまうわ。,0.0
426,105,これ自己責任ですか？,1.0
511,190,寒くなってきたのでね。,1.0
572,251,かせると本質が不透明になり、お笑いのプロパガンダ利用倫理観欠如で日本会議理念の安倍晋三元首相は「私が国家だ」とんだ勘違いの傲慢不遜で権力私物化「政治とカネ」,1.0
8,1039,本当生産性のない奴らw,0.0
261,34212,玉木さん、まともなこと言っちゃってどうしたの？,0.0
274,34241,ウソつくな。,0.0
345,24,格差が存在し子供達が路頭に迷うようなことは絶対に有ってはならないと思います！,1.0
608,287,残念ながら日本の有権者の多くはそんな事何一つ理解していません。,1.0
151,22823,コイツの方が、チンカスだろ。,0.0
258,34204,「女性であるが故に不利益を受けたり生きづらさを感じさせられたりすることのない社会を実現しなければ」という部分は大賛成だが、このツイートはちょっと...。,0.0
598,277,反日教育は近隣諸国条項とそれに従う政治家と官僚の影響です。,1.0
100,16442,ちゃんと裏付けとりましょね,0.0
349,28,仮に規制して性犯罪が確実に無くなる保証はありますか？,1.0
64,5813,そんなこともわからんのか。,0.0
477,156,さすが韓国人が大好きな国だけあるな。,1.0
510,189,静香さん、バカは相手にするな！,1.0
496,175,この方達は私達地球の仏様です,1.0
25,2319,イヤなら自分の国に帰ればいいのに。,0.0
96,16416,多くの日本人が望んでいるなら実現しているはずなので、ソースも無しにウソは言わないでください。,0.0
614,293,そうやって小学校の頃から教え込まれるんだよ、この国では。,1.0
405,84,これ以上社会経済活動を止められたら2年3年後には国中の中小零細企業は大変な局面を迎える事になる！,1.0
328,7,やな奴だ,1.0
186,33891,投票以外での政治参加を認めない類のお猿さん,0.0
216,34031,「歴史修正主義者は嫌い」って書いてあるから自分の事嫌いなんだね,0.0
79,15292,あなたの意志が弱いだけです。,0.0
113,17800,自己紹介か？,0.0
546,225,プライマリーバランス黒字化だけでも廃止しないといけませんね。,1.0
260,34211,すぐ嘘を、しかもすぐにバレる嘘を付くからお前ら支持されねえのよ,0.0
361,40,支持者は支持者達で衆愚の極みだしどうしようもない。,1.0
4,958,バカなのか？,0.0
