id1,id2,comment1,comment2,similarity
225,348,子供 が かわいそう だ 。 ,子供 が かわいそう だ 。 ,1
225,894,子供 が かわいそう だ 。 ,子供 も かわいそう だ 。 ,1
261,975,動機 は 何 だろ う ？ ,動機 は 何 だろ ？ ,1
276,937,そう だ 。 ,根 は 深 そう だ ,1
348,225,子供 が かわいそう だ 。 ,子供 が かわいそう だ 。 ,1
348,894,子供 が かわいそう だ 。 ,子供 も かわいそう だ 。 ,1
349,350,子供 が 不憫 で なら ない ・ ・ ・ 。 ,子供 が 不憫 で なら ない ,1
350,349,子供 が 不憫 で なら ない ,子供 が 不憫 で なら ない ・ ・ ・ 。 ,1
354,936,何 が あっ た ん だろ う か ？ ,何 か あっ た ん だろ う ね ,1
364,808,エリート や な ,エリート な ん だ ね 。 ,1
483,1014,動機 は 女 か 金 ？ ,動機 は ？ ！ ,1
579,900,何 か あっ た の か な 。 ,あっ た ん だ 。 。 。 ,1
631,673,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,1
673,631,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,1
808,364,エリート な ん だ ね 。 ,エリート や な ,1
894,225,子供 も かわいそう だ 。 ,子供 が かわいそう だ 。 ,1
894,348,子供 も かわいそう だ 。 ,子供 が かわいそう だ 。 ,1
900,579,あっ た ん だ 。 。 。 ,何 か あっ た の か な 。 ,1
936,354,何 か あっ た ん だろ う ね ,何 が あっ た ん だろ う か ？ ,1
937,276,根 は 深 そう だ ,そう だ 。 ,1
975,261,動機 は 何 だろ ？ ,動機 は 何 だろ う ？ ,1
1014,483,動機 は ？ ！ ,動機 は 女 か 金 ？ ,1
1016,1019,マッドサイエンティスト だ な 。 ,マッドサイエンティスト ,1
1019,1016,マッドサイエンティスト ,マッドサイエンティスト だ な 。 ,1
1028,1045,サイコパス です ね ,サイコパス か ？ ,0.878771164
1045,1028,サイコパス か ？ ,サイコパス です ね ,0.878771164
358,1012,ドラマ みたい な 話 ,ドラマ みたい な 事件 だ な ,0.872282105
1012,358,ドラマ みたい な 事件 だ な ,ドラマ みたい な 話 ,0.872282105
684,839,本当に この 人 が やっ た の ？ ,本当に やっ た の か な ？ ,0.860082612
839,684,本当に やっ た の か な ？ ,本当に この 人 が やっ た の ？ ,0.860082612
815,856,もったいない です ね 。 ,もったいない ！ ！ ,0.85384565
856,815,もったいない ！ ！ ,もったいない です ね 。 ,0.85384565
444,1026,自殺 か ？ ,メタノール 自殺 ？ ,0.848729206
1026,444,メタノール 自殺 ？ ,自殺 か ？ ,0.848729206
248,355,お子さん が 気の毒 で なら ない 。 。 。 ,お子さん が 気の毒 だ 。 ,0.84477821
355,248,お子さん が 気の毒 だ 。 ,お子さん が 気の毒 で なら ない 。 。 。 ,0.84477821
174,343,お子さん が 心配 です ね 。 ,残さ れ た お子さん が 心配 です 。 ,0.838158844
343,174,残さ れ た お子さん が 心配 です 。 ,お子さん が 心配 です ね 。 ,0.838158844
261,483,動機 は 何 だろ う ？ ,動機 は 女 か 金 ？ ,0.834706269
261,1014,動機 は 何 だろ う ？ ,動機 は ？ ！ ,0.834706269
483,261,動機 は 女 か 金 ？ ,動機 は 何 だろ う ？ ,0.834706269
483,975,動機 は 女 か 金 ？ ,動機 は 何 だろ ？ ,0.834706269
975,483,動機 は 何 だろ ？ ,動機 は 女 か 金 ？ ,0.834706269
975,1014,動機 は 何 だろ ？ ,動機 は ？ ！ ,0.834706269
1014,261,動機 は ？ ！ ,動機 は 何 だろ う ？ ,0.834706269
1014,975,動機 は ？ ！ ,動機 は 何 だろ ？ ,0.834706269
941,1045,サイコパス だっ た の か ？ ,サイコパス か ？ ,0.831293082
1045,941,サイコパス か ？ ,サイコパス だっ た の か ？ ,0.831293082
771,1020,残さ れ た 子供 さん が 、 不憫 です 。 ,残さ れ た 子供 が 不憫 ,0.811490612
1020,771,残さ れ た 子供 が 不憫 ,残さ れ た 子供 さん が 、 不憫 です 。 ,0.811490612
533,723,嫌 なら 離婚 すれ ば 良い だけ だろ う 。 ,嫌 なら 離婚 すれ ば いい だけ だろ 。 ,0.805709592
723,533,嫌 なら 離婚 すれ ば いい だけ だろ 。 ,嫌 なら 離婚 すれ ば 良い だけ だろ う 。 ,0.805709592
321,631,残さ れ た 子供 が 心配 で かわいそう です 。 ,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,0.793864717
321,673,残さ れ た 子供 が 心配 で かわいそう です 。 ,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,0.793864717
631,321,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,残さ れ た 子供 が 心配 で かわいそう です 。 ,0.793864717
673,321,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,残さ れ た 子供 が 心配 で かわいそう です 。 ,0.793864717
225,339,子供 が かわいそう だ 。 ,かわいそう だ 。 ,0.792679163
339,225,かわいそう だ 。 ,子供 が かわいそう だ 。 ,0.792679163
339,348,かわいそう だ 。 ,子供 が かわいそう だ 。 ,0.792679163
339,894,かわいそう だ 。 ,子供 も かわいそう だ 。 ,0.792679163
348,339,子供 が かわいそう だ 。 ,かわいそう だ 。 ,0.792679163
894,339,子供 も かわいそう だ 。 ,かわいそう だ 。 ,0.792679163
223,422,一体 何 が あっ た の だろ う か ？ ,夫婦 の 間 で 一体 何 が あっ た の か 。 ,0.792524964
422,223,夫婦 の 間 で 一体 何 が あっ た の か 。 ,一体 何 が あっ た の だろ う か ？ ,0.792524964
507,525,動機 は なん だっ た の でしょ う ？ ,動機 は なん だっ た の か が 気 に なる 。 ,0.790554208
525,507,動機 は なん だっ た の か が 気 に なる 。 ,動機 は なん だっ た の でしょ う ？ ,0.790554208
225,631,子供 が かわいそう だ 。 ,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,0.790537959
225,673,子供 が かわいそう だ 。 ,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,0.790537959
348,631,子供 が かわいそう だ 。 ,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,0.790537959
348,673,子供 が かわいそう だ 。 ,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,0.790537959
631,225,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,子供 が かわいそう だ 。 ,0.790537959
631,348,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,子供 が かわいそう だ 。 ,0.790537959
631,894,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,子供 も かわいそう だ 。 ,0.790537959
673,225,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,子供 が かわいそう だ 。 ,0.790537959
673,348,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,子供 が かわいそう だ 。 ,0.790537959
673,894,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,子供 も かわいそう だ 。 ,0.790537959
894,631,子供 も かわいそう だ 。 ,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,0.790537959
894,673,子供 も かわいそう だ 。 ,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,0.790537959
354,579,何 が あっ た ん だろ う か ？ ,何 か あっ た の か な 。 ,0.780493805
354,900,何 が あっ た ん だろ う か ？ ,あっ た ん だ 。 。 。 ,0.780493805
579,354,何 か あっ た の か な 。 ,何 が あっ た ん だろ う か ？ ,0.780493805
579,936,何 か あっ た の か な 。 ,何 か あっ た ん だろ う ね ,0.780493805
900,354,あっ た ん だ 。 。 。 ,何 が あっ た ん だろ う か ？ ,0.780493805
900,936,あっ た ん だ 。 。 。 ,何 か あっ た ん だろ う ね ,0.780493805
936,579,何 か あっ た ん だろ う ね ,何 か あっ た の か な 。 ,0.780493805
936,900,何 か あっ た ん だろ う ね ,あっ た ん だ 。 。 。 ,0.780493805
916,992,夫婦 で 高学歴 だ と 難しい の か ね 。 ,中 々 の 高学歴 夫婦 ,0.771931491
992,916,中 々 の 高学歴 夫婦 ,夫婦 で 高学歴 だ と 難しい の か ね 。 ,0.771931491
483,513,動機 は 女 か 金 ？ ,動機 が あっ た ？ ,0.771876711
513,483,動機 が あっ た ？ ,動機 は 女 か 金 ？ ,0.771876711
513,1014,動機 が あっ た ？ ,動機 は ？ ！ ,0.771876711
1014,513,動機 は ？ ！ ,動機 が あっ た ？ ,0.771876711
270,836,冤罪 の 感 あり 。 ,冤罪 ？ ,0.768262444
836,270,冤罪 ？ ,冤罪 の 感 あり 。 ,0.768262444
951,970,息子 さん かわいそう だ わ 。 ,息子 さん が かわいそう で なり ませ ん 。 ,0.768117551
970,951,息子 さん が かわいそう で なり ませ ん 。 ,息子 さん かわいそう だ わ 。 ,0.768117551
483,878,動機 は 女 か 金 ？ ,動機 が 気 に なる 。 ,0.754885581
878,483,動機 が 気 に なる 。 ,動機 は 女 か 金 ？ ,0.754885581
878,1014,動機 が 気 に なる 。 ,動機 は ？ ！ ,0.754885581
1014,878,動機 は ？ ！ ,動機 が 気 に なる 。 ,0.754885581
358,1022,ドラマ みたい な 話 ,まるで ドラマ みたい 。 ,0.754162742
1022,358,まるで ドラマ みたい 。 ,ドラマ みたい な 話 ,0.754162742
56,209,痛み を 和らげる 研究 を し て い て こういう 毒 を 使う と は … 。 ,痛み を 和らげる 研究 し て いる 癖 に メチルアルコール を 使う と は 。 ,0.747361231
209,56,痛み を 和らげる 研究 し て いる 癖 に メチルアルコール を 使う と は 。 ,痛み を 和らげる 研究 を し て い て こういう 毒 を 使う と は … 。 ,0.747361231
941,1028,サイコパス だっ た の か ？ ,サイコパス です ね ,0.73051639
1028,941,サイコパス です ね ,サイコパス だっ た の か ？ ,0.73051639
355,760,お子さん が 気の毒 だ 。 ,お子さん も 被害 者 も 気の毒 です ね 。 ,0.724743495
760,355,お子さん も 被害 者 も 気の毒 です ね 。 ,お子さん が 気の毒 だ 。 ,0.724743495
420,992,ものすごい 高学歴 夫婦 。 ,中 々 の 高学歴 夫婦 ,0.714020409
992,420,中 々 の 高学歴 夫婦 ,ものすごい 高学歴 夫婦 。 ,0.714020409
465,742,子ども が かわい そう 。 ,子供 かわい そう 。 ,0.713619254
742,465,子供 かわい そう 。 ,子ども が かわい そう 。 ,0.713619254
174,346,お子さん が 心配 です ね 。 ,お子さん が 本当に 心配 ,0.71329926
346,174,お子さん が 本当に 心配 ,お子さん が 心配 です ね 。 ,0.71329926
299,589,勿体ない なぁ ,勿体ない です ね ！ ,0.711603696
589,299,勿体ない です ね ！ ,勿体ない なぁ ,0.711603696
401,836,冤罪 じゃ ない の か ？ ,冤罪 ？ ,0.710050731
836,401,冤罪 ？ ,冤罪 じゃ ない の か ？ ,0.710050731
357,358,ドラマ みたい だ な 、 すげ え 。 ,ドラマ みたい な 話 ,0.708381216
358,357,ドラマ みたい な 話 ,ドラマ みたい だ な 、 すげ え 。 ,0.708381216
846,1008,子供 も いる のに 最低 だ ね 。 ,え … 子供 も いる のに … ？ ,0.707544403
1008,846,え … 子供 も いる のに … ？ ,子供 も いる のに 最低 だ ね 。 ,0.707544403
