,Unnamed: 0,comment_sentence,label
732,310,司法ってなんだろーー（棒）,1.0
627,205,多くの方にその内容を知って下さい。,1.0
319,34055,物事を見極められないコロナ過剰議員は今すぐ辞めてくれ,0.0
82,11349,寝言は寝て言え。,0.0
240,33729,海外に永住して、そこで永眠して下さい。,0.0
779,357,ギャンブルyoutubernoteなどで予想を売ってる人が言う全ては自己責任なんでしょ？,1.0
798,376,信用出来ぬ者とは協力出来ない！,1.0
22,1747,ウクライナみたいに回避できない状況もあるのを想定してない時点でクソ,0.0
277,33915,あんたのフォローで中国の悪口を言ってるヤツがいる！,0.0
699,277,わたしは理解不能です。,1.0
148,17687,自己紹介か？,0.0
438,16,ネトウヨは本人がなりたくて選択してるので何を言われても本人の責任です。,1.0
463,41,おかしい。,1.0
683,261,合ってないんだからさ。,1.0
549,127,稚拙ですねぇ笑,1.0
61,5549,誤魔化さないよう。,0.0
109,14736,弱々しいから虚勢を張っているのか。,0.0
94,11583,ろくに世間も知らないくせしてよくそこまでの自己満足なことが書けるね,0.0
67,7581,こんなところでも歴史改竄運動…,0.0
141,17218,印象かよ=^.^=,0.0
600,178,何でセーシキさんが表現規制大好き統一教会？,1.0
818,396,わざとやってる気もします。,1.0
534,112,ためしに訴訟してみたら？,1.0
754,332,日本は日本で生き残る術を模索したほうがいい。,1.0
366,34255,アホくさ。,0.0
267,33855,こういうこと言う人、戦後の経済を支えてきた人の気持ちなんて理解しようともしてないんだろうな。,0.0
726,304,続ければ何かが見えて来るというのは、ホント実感します。,1.0
704,282,真の右翼は国民国土国益を守る事を第一に考えるから戦争を回避することを第一とします。,1.0
181,21978,頭のネジ飛んだのか？,0.0
110,14833,何もできずに日本を沈没直前まで追い込んだ左翼民主党政権を信奉するような連中が何を言っても説得力は皆無。,0.0
374,34264,妄想に浸っとれやバカタレw  お前のツイートには度々書かせてもらってるが赤旗(便所紙)配達員や共産党病院の職員の給与上げたれや。,0.0
120,16001,クソオス,0.0
752,330,あれ？,1.0
369,34259,誰も共感しないのがなぜか？を考えたことがありますか？,0.0
724,302, おはようございます,1.0
425,3,そこは認めるべき。,1.0
378,34274,やってること全てヒトラーにそっくりwwww,0.0
101,12885,君の発言全て胡散臭いけどな。,0.0
746,324,一回まずは現場にいってみようね,1.0
513,91,リプ欄引用リツ、共に地獄の様相…,1.0
346,34154,何でそうなる？,0.0
495,73,仮にその人が本当にバイトだったとしても。,1.0
428,6,歴史に学ばない人々が圧倒的多数なのが、始末に負えません。,1.0
620,198,用意でけていない当然　労働貴族立憲でもダメ。,1.0
202,25617,多様性以前に、極めて不誠実です。,0.0
76,11336,お前らがやってるのはスターリンや毛沢東と一緒！,0.0
105,12958,おお…まるでレイシストだな。,0.0
247,33749,お　ま　え　が　い　う　な,0.0
802,380,「男は」ってあんた、イケメンを男に入れないのはおかしいだろ。,1.0
775,353,叩かれたからゲリラ戦術に切り替えたか、まさかのまさかで関与してなかったり。,1.0
231,33672,投票以外での政治参加を認めない類のお猿さん,0.0
793,371,「吉本興業」は維新や高市早苗氏や最右翼支持の組織団体なんだろうかなんでもお笑いに化,1.0
329,34100,バイオテロとは言い過ぎです,0.0
232,33680,ミソジニー丸出しツイートをする未婚男性が女性に好かれるとでも思っているのかな？,0.0
386,34291,違う意見を受けられないのは唯我独尊で最も危険なことです,0.0
481,59,経済力の観点でなくて自分の好みに合うかどうかでオトコ選んでますよね。,1.0
50,2643,被害者面すんなよ,0.0
49,2640,君はそろそろおたくから卒業したほうがいいんじゃないか？,0.0
194,23854,普段、根拠やデータを気にしてないからこう受け止めちゃうんでしょうね,0.0
785,363,いや、若い人より高齢者の方がお金持ってるの当たり前だと思う。,1.0
39,2308,張り裂けとけよ。,0.0
57,4740,何言っちゃってるんすか？,0.0
696,274,好意を持ってるのは、印象操作、世論誘導のますゴミ。,1.0
200,25587,そんな中で、方法論が優れているから自民党が優れてるとか、何の冗談だよ。,0.0
565,143,マイラーズさん、応援しております,1.0
787,365,まるおびさん！,1.0
694,272,ちょっと違うかもしれません、日経の記事はＩＴ関連のような専門性の高い技能を持った人材の場合を取り上げています。,1.0
53,4440,　何を今更?,0.0
557,135,たまに理解ある人がいることは関係ありません断交、それだけは日韓の正しいあり方です,1.0
372,34262,数字は嘘をつかないが嘘つきは数字を使う,0.0
258,33810,ねえ、もう少し勉強してから、考えてからツイートしない？,0.0
102,12933,キッショ,0.0
502,80,立憲民主主義は多数決ではない。,1.0
361,34237,ん～取り敢えず日本語大丈夫？,0.0
388,34293,馬鹿なの？,0.0
370,34260,酔っ払ってるのか？,0.0
519,97,何でもかんでも結局最後に一律給付にする当たり一律給付信仰でもしているのは？,1.0
580,158,各地で内戦が起こってるの草,1.0
426,4,「感謝」「チャレンジ」「他者への貢献」が重要ですね。,1.0
768,346,政治に関しては楽な選択してるかも,1.0
344,34150,やんわり現代のオタクをdisる,0.0
535,113,人の動向を見てると、まだまだ恐怖がいっぱいいっぱいです。,1.0
788,366,どんな主張も信じるのは自由だけど、その主張を基に他者を攻撃嫌がらせするのは看過できない。,1.0
20,1289,嫌われてるのはあんたらインセルやキモモタだけ。,0.0
18,1283,なんか、哀れだな。,0.0
235,33704,一人でも反対したらアウトだと思ってんですかバカなんですかバカなんですね…。,0.0
86,11365,何処の世界線の方ですか？,0.0
822,400,人に移さない行動や対策をしてほしいですね,1.0
252,33781,その脳みそが既に洗脳されている（笑）,0.0
545,123,私は助けが多かったから救われたけど一人ならとても、、。,1.0
302,34000,事勿れ外交を繰り返し国益を損ない続けた人物がどの口で？,0.0
518,96,地上波が一番のデマ源,1.0
541,119,まともな医師はいたただ利益優先強欲の医師免許持つ奴の声が大きすぎた最初の東京都のコロナ死者の発表は平均年齢70歳超えの基礎疾患ありの男性ばかりだったよな,1.0
429,7,経済界が朝鮮戦争特需を忘れられないのと同様に、保守政治家は反共反ソでさえあればアメリカが支持してくれた冷戦時代が忘れられないんじゃないか？,1.0
211,29231,乱暴なことばね。。。,0.0
601,179,反日しても投獄されるし妹さんどうするんやろか,1.0
186,23475,政治ではどんな主張も構わないと思うが、正しくない事実に基づいてはいけない。,0.0
189,23617,言うだけだったら誰でも出来んだぜ行動に移しな,0.0
137,16331,寝言は寝てry,0.0
56,4738,アホくさ,0.0
676,254,数千人？の中のたった一人を連れてきて、あたかも全員ヤラセでした、と言わんばかりの映像を作って流したことは、公共放送局としての矜持を自ら踏み躙る行為かな？とは思います。,1.0
166,19976,ネトウヨ。,0.0
342,34148,真っ当な批判を犯罪、差別にすり替えるってすごいね。,0.0
