Column1,comment,label
0,海外 に 永住 し て 、 そこで 永眠 し て 下さい 。 ,0
5,汚い 単語 の 使用 は 、 内容 が 正しい 批判 で あっ た として も 、 イカガワシク 感じ させ ます よ 。 ,0
7,たかが テレビ 見る の に こんなに 脳みそ こじらせ て か あい そう 、 か あいそ う 。 ,0
9,投票 以外 で の 政治 参加 を 認め ない 類 の お 猿 さん ,0
10,非常 に 多く の 日本人 は 望ん で おり ませ ん 間違い 忖度 は し ない で 下さい 。 ,0
11,しっかり 搾取 さ れ て て 草 養分 乙 ,0
14,頭 の ネジ 飛ん だ の か ？ ,0
16,生まれ て この方 そんな 話 は 聞い た こと は ない が ,0
17,極論 ,0
18,ある もの を ある って それ は あなた の 勝手 な 思い込み です よ ね ？ ,0
21,また 、 ” 学校 で 憲法 に 沿っ て 反日 教育 が 行わ れ て いる 。 ” と する が 、 何 を 指し て 反日 教育 と 言っ て いる の か も 不明 だ 。 ,0
24,何 を 今更 ? ,0
27,ろくに 世間 も 知ら ない くせ し て よく そこ まで の 自己 満足 な こと が 書ける ね ,0
28,ゴ 〇 ,0
30,馬鹿 は どっち な の か … ,0
32,仮に 被害 者 だ として も ジャーナリスト が そんな 不祥事 見逃し て たっ て 無能 に も 程 が ある ,0
33,そういう 所 が ダメ な ん だ ぞ ネトウヨ 。 ,0
34,やっ ぱりなんかずれてんよね 。 ,0
35,いや 、 その 理屈 は おかしい 。 ,0
37,そもそも 右翼 、 左翼 だけ で 区別 する 物 の 言い方 が 好き で は ない です ね 。 ,0
39,議員 なら 真実 の 情報 を 広め たら ど ない や 。 ,0
44,イヤ なら 自分 の 国 に 帰れ ば いい のに 。 ,0
48,ネトウヨ が 差別 用語 と 、 訳 の 分から ない 主張 を する ネトウヨ 。 ,0
49,これ が オウム の サリン 事件 と 同一 に 見える の なら ば 医者 に 行く べき だ ,0
50,むし 守備 側 は てめえ の テリトリー で 手一杯 な ん だ 、 お前 ら が 余計 な 飛び火 する やり方 ばかり し てる から 仕方 なく 病巣 ごと 叩き 潰す 戦略 に 移っ てる だけ で な ,0
52,真っ当 な 批判 を 犯罪 、 差別 に すり替える って すごい ね 。 ,0
56,煽り とか で なく 、 一度 病院 で 統合 失調 調べ て もらっ た ほう が いい と 思い ます 。 ,0
57,?(｡･?･)????？ ,0
59,その 脳みそ が 既に 洗脳 さ れ て いる （ 笑 ） ,0
60,アンケート とっ た の ？ ,0
62,被害 者 面す ん な よ ,0
64,くだら ん ツイ デモ より 京都 の 財政 状況 気 に し た 方 が いい ん じゃ ない ？ ,0
66,エビデンス 出し て 下さい 。 ,0
67,そのまま 体 ごと 張り裂け て しまえ ,0
69,フェミニスト と 大きく 言う なら 常識 ない 人 = フェミニスト って イメージ が どんどん 浸透 する よ ？ ,0
70,貴女 の お母様 に対して そして 貴女 の お 父様 祖父母 お母様 の 祖父母 も 女性 差別 し た 事 に なり ます が ？ ,0
71,病気 じゃ ない ？ ,0
74,小学生 か な ？ ,0
75,ま ー た デタラメ な 事 を … 。 ,0
76,えー 無知 は 、 どちら ？ ,0
79,こんな 人間 が 出 政治 家 を 志し てる 恐怖 よ 。 ,0
